Key,Source,Context,English

furiousramsayattmisery,progression,Attribute,Misery
FuriousRamsayAttMiseryDesc,progression,Attribute,"Your environment appears to become increasingly challenging.\n\nMarked enemies get stronger as you [b658c4]kill[-] them, [c45858]die[-] or [bec257]progress[-]."
FuriousRamsayAttMiseryName,progression,Attribute,Misery

FuriousRamsaySkillDisturbanceName,progression,Skill,Disturbance
FuriousRamsaySkillDisturbanceDesc,progression,Skill,[416eb8]DISTURBANCE[-] Description

FuriousRamsayPerkAscensionName,progression,perk,[bec257]Ascension[-]
FuriousRamsayPerkAscensionDesc,progression,perk,"Marked enemies [bec257]Ascend[-] as you level up. Don't think you're the only one who gets to become stronger."
FuriousRamsayPerkDownfallName,progression,perk,[c45858]Downfall[-]
FuriousRamsayPerkDownfallDesc,progression,perk,"Marked enemies benefit from your [c45858]Downfalls[-].\n\nEvery death beyond [56ba60]LEVEL {cvar(varFuriousRamsayTheyGrowStrongerTierPlayerLevel01:0)}[-] will make them tougher"
FuriousRamsayPerkNaturalSelectionName,progression,perk,[b658c4]Natural Selection[-]
FuriousRamsayPerkNaturalSelectionDesc,progression,perk,"Zombies evolve through [b658c4]Natural Selection[-] as you weed out the weaker ones."

FuriousRamsayAttMiseryRank01Desc,progression,Attribute,"Misery [46aba1]Level 1[-]"
FuriousRamsayAttMiseryRank01LongDesc,progression,Attribute,"You have this sinking feeling that your environment is constantly evolving.\n\nYou'll have to adjust to whatever comes next."

FuriousRamsayPerkAscensionRank1Desc,progression,perk,"Ascension Level 1"
FuriousRamsayPerkAscensionRank1LongDesc,progression,perk,"Marked enemies [bec257]Ascend[-] when you reach [56ba60]LEVEL {cvar(varFuriousRamsayTheyGrowStrongerTierPlayerLevel01:0)}[-]\n\nThey will have a [56ba60]1.25%[-] chance to have the following:\n • Have periodic [cdd15c]Speed Bursts[-]"
FuriousRamsayPerkAscensionRank2Desc,progression,perk,"Ascension Level 2"
FuriousRamsayPerkAscensionRank2LongDesc,progression,perk,"Marked enemies [bec257]Ascend[-] when you reach [56ba60]LEVEL {cvar(varFuriousRamsayTheyGrowStrongerTierPlayerLevel02:0)}[-]\n\nThey will have a [56ba60]2.5%[-] chance to have the following:\n • Have periodic [cdd15c]Speed Bursts[-]"
FuriousRamsayPerkAscensionRank3Desc,progression,perk,"Ascension Level 3"
FuriousRamsayPerkAscensionRank3LongDesc,progression,perk,"Marked enemies [bec257]Ascend[-] when you reach [56ba60]LEVEL {cvar(varFuriousRamsayTheyGrowStrongerTierPlayerLevel03:0)}[-]\n\nThey will have a [56ba60]3.75%[-] chance to have a combination of the following:\n • Be [bf303c]Fire Immune[-]\n • Have periodic [cdd15c]Speed Bursts[-]"
FuriousRamsayPerkAscensionRank4Desc,progression,perk,"Ascension Level 4"
FuriousRamsayPerkAscensionRank4LongDesc,progression,perk,"Marked enemies [bec257]Ascend[-] when you reach [56ba60]LEVEL {cvar(varFuriousRamsayTheyGrowStrongerTierPlayerLevel04:0)}[-]\n\nThey will have a [56ba60]5%[-] chance to have a combination of the following:\n • Be [bf303c]Fire Immune[-]\n • Have periodic [cdd15c]Speed Bursts[-]"
FuriousRamsayPerkAscensionRank5Desc,progression,perk,"Ascension Level 5"
FuriousRamsayPerkAscensionRank5LongDesc,progression,perk,"Marked enemies [bec257]Ascend[-] when you reach [56ba60]LEVEL {cvar(varFuriousRamsayTheyGrowStrongerTierPlayerLevel05:0)}[-]\n\nThey will have a [56ba60]6.25%[-] chance to have a combination of the following:\n • Be [bf303c]Fire Immune[-]\n • Have periodic [cdd15c]Speed Bursts[-]"
FuriousRamsayPerkAscensionRank6Desc,progression,perk,"Ascension Level 6"
FuriousRamsayPerkAscensionRank6LongDesc,progression,perk,"Marked enemies [bec257]Ascend[-] when you reach [56ba60]LEVEL {cvar(varFuriousRamsayTheyGrowStrongerTierPlayerLevel06:0)}[-]\n\nThey will have a [56ba60]7.5%[-] chance to have a combination of the following:\n • Be [bf303c]Fire Immune[-]\n • Be [2ea3b8]Shock Immune[-]\n • Have periodic [cdd15c]Speed Bursts[-]"
FuriousRamsayPerkAscensionRank7Desc,progression,perk,"Ascension Level 7"
FuriousRamsayPerkAscensionRank7LongDesc,progression,perk,"Marked enemies [bec257]Ascend[-] when you reach [56ba60]LEVEL {cvar(varFuriousRamsayTheyGrowStrongerTierPlayerLevel07:0)}[-]\n\nThey will have a [56ba60]8.75%[-] chance to have a combination of the following:\n • Be [bf303c]Fire Immune[-]\n • Be [2ea3b8]Shock Immune[-]\n • Have periodic [cdd15c]Speed Bursts[-]"
FuriousRamsayPerkAscensionRank8Desc,progression,perk,"Ascension Level 8"
FuriousRamsayPerkAscensionRank8LongDesc,progression,perk,"Marked enemies [bec257]Ascend[-] when you reach [56ba60]LEVEL {cvar(varFuriousRamsayTheyGrowStrongerTierPlayerLevel08:0)}[-]\n\nThey will have a [56ba60]10%[-] chance to have a combination of the following:\n • Be [bf303c]Fire Immune[-]\n • Be [2ea3b8]Shock Immune[-]\n • Have periodic [cdd15c]Speed Bursts[-]"
FuriousRamsayPerkAscensionRank9Desc,progression,perk,"Ascension Level 9"
FuriousRamsayPerkAscensionRank9LongDesc,progression,perk,"Marked enemies [bec257]Ascend[-] when you reach [56ba60]LEVEL {cvar(varFuriousRamsayTheyGrowStrongerTierPlayerLevel09:0)}[-]\n\nThey will have a [56ba60]11.25%[-] chance to have a combination of the following:\n • Be [bf303c]Fire Immune[-]\n • Be [2ea3b8]Shock Immune[-]\n • Have periodic [cdd15c]Speed Bursts[-]"
FuriousRamsayPerkAscensionRank10Desc,progression,perk,"Ascension Level 10"
FuriousRamsayPerkAscensionRank10LongDesc,progression,perk,"Marked enemies [bec257]Ascend[-] when you reach [56ba60]LEVEL {cvar(varFuriousRamsayTheyGrowStrongerTierPlayerLevel10:0)}[-]\n\nThey will have a [56ba60]12.5%[-] chance to have a combination of the following:\n • Be [bf303c]Fire Immune[-]\n • Be [2ea3b8]Shock Immune[-]\n • Have periodic [cdd15c]Speed Bursts[-]"

FuriousRamsayPerkDownfallRank1Desc,progression,perk,"Downfall Level 1"
FuriousRamsayPerkDownfallRank1LongDesc,progression,perk,"Marked enemies will become resistant to physical damage:\n • [56ba60]3%[-] after [c45858]{cvar(varFuriousRamsayTheyGrowStrongerTierDeaths01:0)}[-] deaths"
FuriousRamsayPerkDownfallRank2Desc,progression,perk,"Downfall Level 2"
FuriousRamsayPerkDownfallRank2LongDesc,progression,perk,"Marked enemies will become resistant to physical damage:\n • [56ba60]6%[-] after [c45858]{cvar(varFuriousRamsayTheyGrowStrongerTierDeaths02:0)}[-] deaths"
FuriousRamsayPerkDownfallRank3Desc,progression,perk,"Downfall Level 3"
FuriousRamsayPerkDownfallRank3LongDesc,progression,perk,"Marked enemies will become resistant to physical damage:\n • [56ba60]9%[-] after [c45858]{cvar(varFuriousRamsayTheyGrowStrongerTierDeaths03:0)}[-] deaths"
