Key,Source,Context,English

FuriousRamsayStatEntityDamageThrown,ui_display,Item stat,Throw Damage
FuriousRamsayStatAuraRange,ui_display,Item stat,"Aura Range (m)"

FuriousRamsayExplosivesLabel,UI,Tooltip,Explosives
FuriousRamsayAuraLabel,UI,Tooltip,Auras

FuriousRamsayPerkHealingAuraMod,item_modifiers,mod,Healing Aura Mod
FuriousRamsayPerkHealingAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [cc4137]life regeneration[-] with this Aura modifier\n\nRequirement for the Healing Aura to function"
FuriousRamsayPerkStaminaAuraMod,item_modifiers,mod,Stamina Aura Mod
FuriousRamsayPerkStaminaAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [e0e036]stamina regeneration[-] with this Aura modifier\n\nRequirement for the Stamina Aura to function"
FuriousRamsayPerkMobilityAuraMod,item_modifiers,mod,Mobility Aura Mod
FuriousRamsayPerkMobilityAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [53adbd]mobility[-] with this Aura modifier\n\nRequirement for the Mobility Aura to function"
FuriousRamsayPerkArmorPenetrationAuraMod,item_modifiers,mod,Armor Penetration Aura Mod
FuriousRamsayPerkArmorPenetrationAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [9155fa]armor penetration[-] with this Aura modifier\n\nRequirement for the Armor Penetration Aura to function"
FuriousRamsayPerkBlockDamageAuraMod,item_modifiers,mod,Block Damage Aura Mod
FuriousRamsayPerkBlockDamageAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [c256fc]block damage[-] with this Aura modifier\n\nRequirement for the Block Damage Aura to function"
FuriousRamsayPerkFireRateAuraMod,item_modifiers,mod,Fire Rate Aura Mod
FuriousRamsayPerkFireRateAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [76e381]fire rate[-] with this Aura modifier\n\nRequirement for the Fire Rate Aura to function"
FuriousRamsayPerkAttackSpeedAuraMod,item_modifiers,mod,Attack Speed Aura Mod
FuriousRamsayPerkAttackSpeedAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [e8a276]attack speed[-] with this Aura modifier\n\nRequirement for the Attack Speed Aura to function"
FuriousRamsayPerkShadowAuraMod,item_modifiers,mod,Shadow Aura Mod
FuriousRamsayPerkShadowAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [257685]noise and light Reduction[-] with this Aura modifier\n\nRequirement for the Shadow Aura to function"
FuriousRamsayPerkVitalityAuraMod,item_modifiers,mod,Vitality Aura Mod
FuriousRamsayPerkVitalityAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [781c16]vitality[-] with this Aura modifier\n\nRequirement for the Vitality Aura to function"
FuriousRamsayPerkAgilityAuraMod,item_modifiers,mod,Agility Aura Mod
FuriousRamsayPerkAgilityAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [1e8529]agility[-] with this Aura modifier\n\nRequirement for the Agility Aura to function"
FuriousRamsayPerkPierceAuraMod,item_modifiers,mod,Pierce Aura Mod
FuriousRamsayPerkPierceAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove how many enemies you can [741ca3]penetrate[-] with this Aura modifier\n\nRequirement for the Pierce Aura to function"
FuriousRamsayPerkTradeAuraMod,item_modifiers,mod,Trade Aura Mod
FuriousRamsayPerkTradeAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [3430a1]trade[-] with this Aura modifier\n\nRequirement for the Trade Aura to function"
FuriousRamsayPerkPreservationAuraMod,item_modifiers,mod,Preservation Aura Mod
FuriousRamsayPerkPreservationAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [9c572c]item degradation[-] with this Aura modifier\n\nRequirement for the Preservation Aura to function"
FuriousRamsayPerkFortuityAuraMod,item_modifiers,mod,Fortuity Aura Mod
FuriousRamsayPerkFortuityAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [595959]loot quantity[-] with this Aura modifier\n\nRequirement for the Fortuity Aura to function"
FuriousRamsayPerkStabilityAuraMod,item_modifiers,mod,Stability Aura Mod
FuriousRamsayPerkStabilityAuraModDesc,item_modifiers,mod,"Insert into [85b3c7]Head Armor[-]\n\nImprove your [b0b000]accuracy and recoil reduction[-] with this Aura modifier\n\nRequirement for the Stability Aura to function"

FuriousRamsayGiveXP,items,Items,Receive 15,000 XP

statCraftingSmeltTime,ui_display,Item stat,Crafting Speed
toolBellowsDesc,items,Item,"A tool that can be installed in a Furnace. It increases air flow and so reduces the crafting time in the Furnace"

FuriousRamsayLootOnly,items,Items,Cannot be Crafted

