Key,Source,Context,English

FuriousRamsaySpawnFarmerTrader_FR,blocks,Block,"Billy Bob, 'The Farmer'"
FuriousRamsaySpawnFarmerTrader_FRDesc,blocks,Block,"Billy Bob, 'The Farmer'"
FuriousRamsaySpawnHandyManTrader_FR,blocks,Block,"Gretta, 'The Handywoman'"
FuriousRamsaySpawnHandyManTrader_FRDesc,blocks,Block,"Gretta, 'The Handywoman'"
FuriousRamsaySpawnBlackShieldTrader_FR,blocks,Block,"Lorenzo, 'The Black Shield Trader'"
FuriousRamsaySpawnBlackShieldTrader_FRDesc,blocks,Block,"Lorenzo, 'The Black Shield Trader'"

FuriousRamsaySpawnBriston_FR,blocks,Block,"Briston, 'The Survivalist'"
FuriousRamsaySpawnBriston_FRDesc,blocks,Block,"Briston, 'The Survivalist'"
FuriousRamsaySpawnTrainerHunter_FR,blocks,Block,"Olivia, 'The Huntress'"
FuriousRamsaySpawnTrainerThug_FR,blocks,Block,"Isaac, 'The Thug'"
FuriousRamsaySpawnTrainerButcher_FR,blocks,Block,"Hank, 'The Butcher'"
FuriousRamsaySpawnTrainerSoldier_FR,blocks,Block,"Elias, 'The Soldier'"
FuriousRamsaySpawnTrainerTechnogeek_FR,blocks,Block,"Scarlett, 'The Technogeek'"
FuriousRamsaySpawnTrainerMadman_FR,blocks,Block,"Liam, 'The Madman'"
FuriousRamsaySpawnTrainerBuilder_FR,blocks,Block,"Vince, 'The Builder'"
FuriousRamsaySpawnTrainerChef_FR,blocks,Block,"Helen, 'The Sous-Chef'"
FuriousRamsaySpawnTrainerWitchDoctor_FR,blocks,Block,"Bruce, 'The Witch Doctor'"

FuriousRamsayFarmerTrader_FR,entityclasses,Entity,"Billy Bob, 'The Farmer'"
FuriousRamsayTraderHandyman_FR,entityclasses,Entity,"Gretta, 'The Handywoman'"
FuriousRamsayBlackShieldTrader_FR,entityclasses,Entity,"Lorenzo, 'The Black Shield Trader'"

FuriousRamsayMercenaryTier1_FR,entityclasses,Entity,"Mercenary - Tier 1"
FuriousRamsayMercenaryTier2_FR,entityclasses,Entity,"Mercenary - Tier 2"
