Key,Source,Context,English

xuiChooseTwo,UI,XUI,"Choose Rewards:"

qc_FuriousRamsayLocateShelter,items,Quest,POI Marker
qc_FuriousRamsayLocateShelterDesc,Quests,Quests,"I would suggest you clear a POI, but it isn't necessary. If you are ok with the area you are in, we can set up here.\n\nI'll make myself available to you whenever you feel like you need training of any sort.\n\n - Briston"
qc_FuriousRamsayLocateShelterHunter,items,Quest,POI Marker (Hunter)
qc_FuriousRamsayLocateShelterDesc,Quests,Quests,"I would suggest you clear a POI, but it isn't necessary. If you are ok with the area you are in, we can set up here.\n\nI'll make myself available to you whenever you feel like you need training of any sort.\n\n - Briston"
qc_FuriousRamsayLocateShelterThug,items,Quest,POI Marker (Thug)
qc_FuriousRamsayLocateShelterDesc,Quests,Quests,"I would suggest you clear a POI, but it isn't necessary. If you are ok with the area you are in, we can set up here.\n\nI'll make myself available to you whenever you feel like you need training of any sort.\n\n - Briston"
qc_FuriousRamsayLocateShelterButcher,items,Quest,POI Marker (Butcher)
qc_FuriousRamsayLocateShelterDesc,Quests,Quests,"I would suggest you clear a POI, but it isn't necessary. If you are ok with the area you are in, we can set up here.\n\nI'll make myself available to you whenever you feel like you need training of any sort.\n\n - Briston"
qc_FuriousRamsayLocateShelterSoldier,items,Quest,POI Marker (Soldier)
qc_FuriousRamsayLocateShelterDesc,Quests,Quests,"I would suggest you clear a POI, but it isn't necessary. If you are ok with the area you are in, we can set up here.\n\nI'll make myself available to you whenever you feel like you need training of any sort.\n\n - Briston"
qc_FuriousRamsayLocateShelterTechnogeek,items,Quest,POI Marker (Technogeek)
qc_FuriousRamsayLocateShelterDesc,Quests,Quests,"I would suggest you clear a POI, but it isn't necessary. If you are ok with the area you are in, we can set up here.\n\nI'll make myself available to you whenever you feel like you need training of any sort.\n\n - Briston"
qc_FuriousRamsayLocateShelterMadman,items,Quest,POI Marker (Madman)
qc_FuriousRamsayLocateShelterDesc,Quests,Quests,"I would suggest you clear a POI, but it isn't necessary. If you are ok with the area you are in, we can set up here.\n\nI'll make myself available to you whenever you feel like you need training of any sort.\n\n - Briston"
qc_FuriousRamsayLocateShelterBuilder,items,Quest,POI Marker (Builder)
qc_FuriousRamsayLocateShelterDesc,Quests,Quests,"I would suggest you clear a POI, but it isn't necessary. If you are ok with the area you are in, we can set up here.\n\nI'll make myself available to you whenever you feel like you need training of any sort.\n\n - Briston"
qc_FuriousRamsayLocateShelterChef,items,Quest,POI Marker (Sous-Chef)
qc_FuriousRamsayLocateShelterDesc,Quests,Quests,"I would suggest you clear a POI, but it isn't necessary. If you are ok with the area you are in, we can set up here.\n\nI'll make myself available to you whenever you feel like you need training of any sort.\n\n - Briston"
qc_FuriousRamsayLocateShelterWitchDoctor,items,Quest,POI Marker (Witch Doctor)
qc_FuriousRamsayLocateShelterDesc,Quests,Quests,"I would suggest you clear a POI, but it isn't necessary. If you are ok with the area you are in, we can set up here.\n\nI'll make myself available to you whenever you feel like you need training of any sort.\n\n - Briston"

quest_FuriousRamsayFindTraderNetwork_description,Quests,Quests,"Briston gave me a flyer to locate a network of traders.\n\nHe did warn me to not trust them, that things may not be as they appear.\n\nI'll keep that in mind."
quest_FuriousRamsayFindTraderNetwork_offer,Quests,Quests,"Here's a flyer to the closest trader.\n\nI don't personally work with them but you will need to run jobs for them if you want to equip yourself with tools and crafting stations.\n\nJust watch your back. I've heard that some have either got burned or simply weren't heard of again after having dealt with them.\n\n - Briston"
quest_FuriousRamsayFindTraderNetwork_completion,Quests,Quests,"Welcome stranger! Here's a few dukes and food choices to get you started.\n\nIf you do a number of jobs for us we'll introduce you to some of our specialty traders:\n\nWe have some jobs to help with your crafting needs but some are only available in the next tiers."

foodShamChowderDesc,items,Food,Sham Chowder increases your Genetics and grows chest hair!

ttLevelUp,UI,Tooltip,Level Up! You are now level {0}

xuiEnemyKills,UI,XUI,Zombie Kills
xuiPlayerKills,UI,XUI,Other Kills

skillPointTip,Journal Tip,,"You have leveled up. Each level brings with it new challenges, be careful."
skillPointTip_title,Journal Tip,,Leveling Up

tutorialTipQuest01_title,Journal Tip,,Wake-up
tutorialTipQuest01,Journal Tip,,"Hey, wake up, you're in danger!"

quest_FuriousRamsayHunterTrainer_title,Journal Tip,,"The Hunter Trainer"
quest_FuriousRamsayHunterTrainer,Journal Tip,,"Once you find a spot for your Hunter Trainer, you'll find that they offer a range of repair kits and missions for sale.\n\nYou have been given a Starter mission backpack to get you going on your first missions.\n\nThese missions will provide you with the necessary schematics to start assembling your crafting stations.\n\nThey do have player level requirements and most can only be started once you reach level 10.\n\n - Briston"
quest_FuriousRamsayThugTrainer_title,Journal Tip,,"The Thug Trainer"
quest_FuriousRamsayThugTrainer,Journal Tip,,"Once you find a spot for your Thug Trainer, you'll find that they offer a range of repair kits and missions for sale.\n\nYou have been given a Starter mission backpack to get you going on your first missions.\n\nThese missions will provide you with the necessary schematics to start assembling your crafting stations.\n\nThey do have player level requirements and most can only be started once you reach level 10.\n\n - Briston"
quest_FuriousRamsayButcherTrainer_title,Journal Tip,,"The Butcher Trainer"
quest_FuriousRamsayButcherTrainer,Journal Tip,,"Once you find a spot for your Butcher Trainer, you'll find that they offer a range of repair kits and missions for sale.\n\nYou have been given a Starter mission backpack to get you going on your first missions.\n\nThese missions will provide you with the necessary schematics to start assembling your crafting stations.\n\nThey do have player level requirements and most can only be started once you reach level 10.\n\n - Briston"
quest_FuriousRamsaySoldierTrainer_title,Journal Tip,,"The Soldier Trainer"
quest_FuriousRamsaySoldierTrainer,Journal Tip,,"Once you find a spot for your Soldier Trainer, you'll find that they offer a range of repair kits and missions for sale.\n\nYou have been given a Starter mission backpack to get you going on your first missions.\n\nThese missions will provide you with the necessary schematics to start assembling your crafting stations.\n\nThey do have player level requirements and most can only be started once you reach level 10.\n\n - Briston"
quest_FuriousRamsayTechnogeekTrainer_title,Journal Tip,,"The Technogeek Trainer"
quest_FuriousRamsayTechnogeekTrainer,Journal Tip,,"Once you find a spot for your Technogeek Trainer, you'll find that they offer a range of repair kits and missions for sale.\n\nYou have been given a Starter mission backpack to get you going on your first missions.\n\nThese missions will provide you with the necessary schematics to start assembling your crafting stations.\n\nThey do have player level requirements and most can only be started once you reach level 10.\n\n - Briston"
quest_FuriousRamsayMadmanTrainer_title,Journal Tip,,"The Madman Trainer"
